fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-04-26,Chicago Cubs @ Los Angeles Dodgers,TOTAL,Under 9.0,2.0,0.52,53.01,win,1.0,1,9.72,972.25,981.97,9.72,100.0,,2026-06-05 14:54:18
2026-04-27,Los Angeles Angels @ Chicago White Sox,ML,Los Angeles Angels,1.93,0.7662,47.88,lose,-1.0,1,9.82,981.97,972.15,-9.82,-100.0,,2026-06-05 14:54:18
2026-04-27,New York Yankees @ Texas Rangers,TOTAL,Over 8.0,1.99,0.52,18.76,lose,-1.0,1,9.72,972.15,962.43,-9.72,-100.0,,2026-06-05 14:54:18
2026-04-27,Chicago Cubs @ San Diego Padres,ML,San Diego Padres,1.93,0.6293,21.45,win,0.93,1,9.62,962.43,971.38,8.95,93.04,,2026-06-05 14:54:18
2026-04-27,Miami Marlins @ Los Angeles Dodgers,RL,Los Angeles Dodgers,2.04,0.7137,20.01,lose,-1.0,1,9.71,971.38,961.67,-9.71,-100.0,,2026-06-05 14:54:18
2026-05-02,Baltimore Orioles @ New York Yankees,TOTAL,Over 6.5,2.15,0.62,33.3,win,1.15,1,9.62,961.67,972.73,11.06,114.97,,2026-06-05 14:54:18
2026-05-02,Arizona Diamondbacks @ Chicago Cubs,TOTAL,Over 7.0,2.1,0.62,30.2,lose,-1.0,1,9.73,972.73,963.0,-9.73,-100.0,,2026-06-05 14:54:18
2026-05-03,Houston Astros @ Boston Red Sox,TOTAL,Over 9.0,2.0,0.6341,26.81,lose,-1.0,1,9.63,963.0,953.37,-9.63,-100.0,,2026-06-05 14:54:18
2026-05-03,Arizona Diamondbacks @ Chicago Cubs,TOTAL,Over 11.5,1.93,0.62,19.66,win,0.93,1,9.53,953.37,962.23,8.86,92.97,,2026-06-05 14:54:18
2026-05-03,Atlanta Braves @ Colorado Rockies,TOTAL,Over 10.0,1.98,0.6386,26.44,win,0.98,1,9.62,962.23,971.66,9.43,98.02,,2026-06-05 14:54:18
2026-05-03,Atlanta Braves @ Colorado Rockies,TOTAL,Over 9.5,2.02,0.6386,29.0,win,1.02,1,9.72,971.66,981.57,9.91,101.95,,2026-06-05 14:54:18
2026-05-03,Chicago White Sox @ San Diego Padres,TOTAL,Over 8.0,2.03,0.62,25.86,lose,-1.0,1,9.82,981.57,971.75,-9.82,-100.0,,2026-06-05 14:54:18
2026-05-04,Atlanta Braves @ Seattle Mariners,ML,Atlanta Braves,2.23,0.6622,30.19,lose,-1.0,1,9.72,971.75,962.03,-9.72,-100.0,,2026-06-05 14:54:18
2026-05-05,Boston Red Sox @ Detroit Tigers,TOTAL,Under 8.5,2.07,0.6267,29.72,lose,-1.0,1,9.62,962.03,952.41,-9.62,-100.0,,2026-06-05 14:54:18
2026-05-05,Cincinnati Reds @ Chicago Cubs,TOTAL,Over 8.0,2.02,0.6182,24.88,lose,-1.0,1,9.52,952.41,942.89,-9.52,-100.0,,2026-06-05 14:54:18
2026-05-06,Atlanta Braves @ Seattle Mariners,TOTAL,Over 4.5,1.91,0.62,18.42,lose,-1.0,1,9.43,942.89,933.46,-9.43,-100.0,,2026-06-05 14:54:18
2026-05-06,Minnesota Twins @ Washington Nationals,TOTAL,Over 9.5,1.95,0.6067,18.31,win,0.95,1,9.33,933.46,942.32,8.86,94.96,,2026-06-05 14:54:18
2026-05-06,Cleveland Guardians @ Kansas City Royals,TOTAL,Over 7.5,2.03,0.62,25.86,lose,-1.0,1,9.42,942.32,932.9,-9.42,-100.0,,2026-06-05 14:54:18
2026-05-07,Pittsburgh Pirates @ Arizona Diamondbacks,TOTAL,Over 8.5,1.94,0.6386,23.89,lose,-1.0,1,9.33,932.9,923.57,-9.33,-100.0,,2026-06-05 14:54:18
2026-05-08,Houston Astros @ Cincinnati Reds,TOTAL,Over 9.0,1.95,0.6386,24.53,win,0.95,1,9.24,923.57,932.35,8.78,95.02,,2026-06-05 14:54:18
2026-05-08,Athletics @ Baltimore Orioles,TOTAL,Over 9.5,2.0,0.62,24.0,lose,-1.0,1,9.32,932.35,923.03,-9.32,-100.0,,2026-06-05 14:54:18
2026-05-08,Tampa Bay Rays @ Boston Red Sox,TOTAL,Over 8.5,1.91,0.6386,21.97,lose,-1.0,1,9.23,923.03,913.8,-9.23,-100.0,,2026-06-05 14:54:18
2026-05-09,Colorado Rockies @ Philadelphia Phillies,TOTAL,Over 8.5,1.95,0.62,20.9,win,0.95,1,9.14,913.8,922.48,8.68,94.97,,2026-06-05 14:54:18
